name,start,end,machine
parsec-blackscholes,115.0,158.0,node-b-4core
parsec-canneal,4.0,166.0,node-a-2core
parsec-dedup,165.0,179.0,node-b-4core
parsec-ferret,0.0,111.0,node-b-4core
parsec-freqmine,1.0,102.0,node-c-8core
parsec-radix,154.0,181.0,node-c-8core
parsec-vips,107.0,131.0,node-c-8core
