#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      280.7   335.2   148.8   191.1   199.5   247.5   275.1   294.6   310.1   328.5   352.6   389.4   482.7  5116.4 12682.2  29929.7    30000  1684617133592  1684617143743
read      284.9   303.7   148.8   191.7   200.6   253.0   284.5   304.2   318.8   338.1   363.3   399.9   506.6  5186.0 10574.7  30028.0    30005  1684617145253  1684617155373
read      285.2   304.1   160.7   191.2   200.5   254.8   286.3   305.4   319.3   338.3   362.6   397.9   493.1  5002.6 11602.0  30031.2    30010  1684617156882  1684617166993
read      288.0   390.8   160.7   191.9   201.3   253.0   283.2   301.8   316.6   335.8   360.9   396.9   494.9  6436.4 12852.7  29980.7    30015  1684617168499  1684617178618
read      283.2   271.1   160.7   193.4   202.9   255.0   286.0   305.5   320.0   339.6   364.9   399.6   485.2  4269.0  9316.1  30028.2    30020  1684617180127  1684617190229
read      280.7   276.6   148.8   192.7   202.4   250.8   279.7   298.5   314.2   333.3   358.4   395.1   494.4  4663.5  9138.2  30073.6    30025  1684617191740  1684617201843
read      281.7   276.1   160.7   193.4   202.8   252.1   281.6   300.4   315.4   334.3   359.0   395.5   490.6  4396.8  9373.0  30112.6    30030  1684617203352  1684617213459
read      281.8   293.9   160.7   192.8   202.5   251.2   280.3   299.0   314.6   333.6   358.5   395.1   488.3  4920.0 11364.1  30045.3    30035  1684617214966  1684617225075
read      287.6   314.6   148.8   192.5   202.5   258.7   289.5   308.3   321.5   340.2   363.8   397.5   489.8  5366.4 12046.4  29996.7    30040  1684617226582  1684617236693
read      283.2   294.4   160.7   192.0   201.2   252.9   283.4   302.5   317.5   337.3   362.4   397.4   494.9  4282.0 12073.8  30040.5    30045  1684617238202  1684617248311
read      288.5   342.0   160.7   194.0   203.6   254.4   285.6   305.5   320.3   340.5   366.0   401.3   526.6  6046.9 12353.1  29940.8    30050  1684617249820  1684617259925
read      287.7   285.4   148.8   191.2   200.5   258.7   290.8   310.3   324.5   342.6   366.4   400.8   514.8  4329.5 10246.0  30082.5    30055  1684617261432  1684617271535
read      284.5   296.3   148.8   192.2   202.3   256.7   287.5   306.5   320.2   338.8   362.2   396.5   491.8  4763.6 10381.2  30062.3    30060  1684617273041  1684617283150
read      290.3   298.7   148.8   193.0   203.0   259.5   291.6   310.9   324.8   342.6   366.4   401.4   515.9  4923.9  9799.7  30161.6    30065  1684617284657  1684617294760
